ID,Line,CMP,Freq,AmpKurt,AmpSlp,CIP,CndWtFreq,CompAbs,DomPowS,IDomFreq,InfoEntr,MaxPkAmp,RelQ,RespBand,SValue
1,652,1270,24.767,30368.2,-0.0126963,0.0170538,22.929,21596.8,26,24.7203,245.797,11597.4,5.87864,3.06737,12
2,652,1271,24.0362,26492.6,-0.0124579,0.0254689,22.4014,20061.2,19,24.5119,253.03,11382.8,4.86982,3.20961,12
3,652,1272,24.3744,25908.2,-0.0117461,0.0285918,22.9213,20161.1,26,24.581,255.858,11579.1,4.74019,3.05073,12
4,653,1270,25.2692,31433.2,-0.012338,0.0224855,24.3109,22041.3,26,24.7657,243.584,11720.1,6.042,2.97224,12
5,653,1271,26.0627,26846,-0.014076,0.00214963,24.0944,20630.6,27,24.538,248.529,11653.4,4.63427,3.47079,12
6,653,1272,24.8335,26227.3,-0.012035,0.0313614,23.4798,20241,26,24.6518,255.476,11726.5,4.37576,3.17598,12
7,654,1270,25.1378,31681.2,-0.0122655,0.0494262,24.8017,22170.5,26,25.2571,248.986,11739.5,6.06917,3.02209,12
8,654,1271,26.2624,26199.6,-0.0138505,0.0265276,24.7585,20304.1,27,25.0091,244.495,11446.6,4.73585,3.54869,12
9,654,1272,25.2057,26693.6,-0.0118476,0.056388,23.9885,20268.2,26,24.9487,250.355,11350.7,5.07261,3.18761,12
10,663,1232,28.0867,49955.3,-0.0144818,-0.00476891,26.0443,33629.5,29,27.016,235.092,18048.7,5.99097,3.11692,20.375
11,663,1233,28.4073,51415.3,-0.0142608,-0.0112714,27.7573,34105.4,29,26.8322,250.118,18222.8,6.05091,3.01726,20.375
12,663,1234,28.4389,49789.5,-0.0142521,-0.0174061,28.0778,33428.8,29,26.6927,252.663,17931.8,6.07517,2.96507,20.375
13,664,1232,28.1822,51940.9,-0.0139067,-0.0115205,26.8324,34366.8,29,26.8467,250.199,18279.8,6.16707,2.91388,20.375
14,664,1233,28.1826,52191,-0.0141739,-0.0214915,26.2922,34443.7,29,26.6241,253.081,18256.9,6.14467,2.93831,20.375
15,664,1234,28.2323,51014.8,-0.0143093,-0.024961,26.4582,33628.6,29,26.5148,254.578,17806.8,6.10509,2.93744,20.375
